Time,EAR,Blink_Count,Deviation,Attention_Score,Looking_Away
0.5740413665771484,0.2257012843521078,0,-14,100,0
0.6449086666107178,0.2148879212914469,0,-15,97,0
0.6724190711975098,0.21454567960718562,0,-14,94,0
0.7024247646331787,0.2118030710465039,0,-14,92,0
0.7319080829620361,0.22583004138770713,0,-14,93,0
0.74212646484375,0.2285313867031775,0,-13,94,0
0.7680175304412842,0.20144257668265186,0,-14,92,0
0.8585774898529053,0.2212870941697292,0,-14,93,0
0.8762969970703125,0.2163554026800607,0,-14,91,0
0.8864874839782715,0.22437942609513686,0,-13,92,0
0.9335777759552002,0.21944773460546838,0,-14,90,0
0.9445769786834717,0.21548042708576992,0,-13,89,0
0.9823741912841797,0.21190188678615618,0,-13,88,0
1.0159344673156738,0.21101237830549385,0,-14,87,0
1.0636053085327148,0.21506598850853942,0,-14,86,0
1.0837223529815674,0.20855024109819958,0,-14,85,0
1.0977203845977783,0.214679210696764,0,-14,85,0
1.1214640140533447,0.21584584832582598,0,-14,85,0
1.159111738204956,0.21949049732871892,0,-14,85,0
1.1870973110198975,0.22300656949597783,1,-14,88,0
1.2163138389587402,0.21197365658313172,1,-13,87,0
1.2515549659729004,0.2118030710465039,1,-12,86,0
1.285818099975586,0.2118030710465039,1,-12,85,0
1.3143315315246582,0.21933456517449787,1,-10,85,0
1.346855640411377,0.23323984556280525,1,-9,88,0
1.3962597846984863,0.21428273421138117,1,-7,87,0
1.427138090133667,0.2118205970040869,1,-6,86,0
1.4560370445251465,0.21507342695239118,1,-5,85,0
1.4898715019226074,0.21340071609948857,1,-5,85,0
1.524399757385254,0.2153466124277592,1,-4,85,0
1.5534026622772217,0.22347086613747708,2,-4,88,0
1.5867762565612793,0.21551719796438704,2,-3,87,0
1.6190190315246582,0.21356826985604643,2,-2,86,0
1.6500329971313477,0.21708154699743054,2,-1,85,0
1.6815791130065918,0.20950942611956763,2,-1,85,0
1.7301397323608398,0.20771607030507272,2,0,85,0
1.7604916095733643,0.2120937824794549,2,0,85,0
1.7934749126434326,0.20586619090583894,2,1,85,0
1.8253016471862793,0.23131904543030346,3,1,88,0
1.859372615814209,0.21719952360706296,3,1,87,0
1.889237880706787,0.21708154699743054,3,1,86,0
1.9232676029205322,0.21903047510577117,3,2,85,0
1.9542896747589111,0.22104095224891446,3,2,88,0
1.987098217010498,0.21560705962083904,3,2,87,0
2.019437074661255,0.21214564217854132,3,2,86,0
2.0714902877807617,0.20786815200803146,3,2,85,0
2.099595069885254,0.21557423724144886,3,2,85,0
2.1547787189483643,0.22352790541453893,3,2,88,0
2.1717963218688965,0.2311729450876846,3,2,90,0
2.2967658042907715,0.22352790541453893,3,2,92,0
2.3257486820220947,0.2311729450876846,3,2,93,0
2.342766523361206,0.23387849920131681,3,2,94,0
2.367274522781372,0.2330244824035232,3,2,95,0
2.3851468563079834,0.22919140388131048,3,1,96,0
2.4025418758392334,0.22919140388131048,3,1,96,0
2.4291350841522217,0.22919140388131048,3,1,96,0
2.440312147140503,0.23181249324438336,3,1,96,0
2.470571756362915,0.2328552707303605,3,1,96,0
2.50179123878479,0.23094027954308494,3,1,96,0
2.5486397743225098,0.23481853620690496,3,1,96,0
2.5814476013183594,0.24271564905190912,3,1,96,0
2.6126463413238525,0.23796832635998647,3,0,96,0
2.6407272815704346,0.23947073836178143,3,0,96,0
2.6944878101348877,0.23684964899870853,3,1,96,0
2.7259082794189453,0.2296544440328495,3,0,96,0
2.759359836578369,0.2344660330581183,3,0,96,0
2.791877508163452,0.23452153524098818,3,0,96,0
2.820878267288208,0.23517166484879976,3,0,96,0
2.8726658821105957,0.23684964899870853,3,0,96,0
